id,label
http://metadata.un.org/thesaurus#1000328,antimony
http://metadata.un.org/thesaurus#1004439,non-ferrous metals
http://metadata.un.org/thesaurus#1000330,antiquities
http://metadata.un.org/thesaurus#1000368,archaeology
http://metadata.un.org/thesaurus#1000342,apples
http://metadata.un.org/thesaurus#1000345,appointment of officials
http://metadata.un.org/thesaurus#1006552,top echelon staff
http://metadata.un.org/thesaurus#1000347,appropriations
http://metadata.un.org/thesaurus#180400,financing
http://metadata.un.org/thesaurus#1000708,budget
http://metadata.un.org/thesaurus#1000350,apricots
http://metadata.un.org/thesaurus#1000353,aquatic sports
http://metadata.un.org/thesaurus#1006140,sports
http://metadata.un.org/thesaurus#150600,"leisure, recreation and sports"
http://metadata.un.org/thesaurus#1000357,arabian sea
http://metadata.un.org/thesaurus#1003099,indian ocean
http://metadata.un.org/thesaurus#1000358,arabic language
http://metadata.un.org/thesaurus#1005814,semitic languages
http://metadata.un.org/thesaurus#1000365,arbitration rules
http://metadata.un.org/thesaurus#010702,international trade law
http://metadata.un.org/thesaurus#1003286,international commercial arbitration
http://metadata.un.org/thesaurus#1000366,arbitrators
http://metadata.un.org/thesaurus#010300,maintenance of peace and security
http://metadata.un.org/thesaurus#1000364,arbitration
http://metadata.un.org/thesaurus#1000367,archaeological excavations
http://metadata.un.org/thesaurus#140501,social science disciplines and methodologies
http://metadata.un.org/thesaurus#1000378,argentinians
http://metadata.un.org/thesaurus#1000377,argentina
http://metadata.un.org/thesaurus#1000385,armenian language
http://metadata.un.org/thesaurus#1003401,iranic languages
http://metadata.un.org/thesaurus#1000386,armenians
http://metadata.un.org/thesaurus#1000384,armenia
http://metadata.un.org/thesaurus#1000387,armies
http://metadata.un.org/thesaurus#010400,disarmament and military questions
http://metadata.un.org/thesaurus#1000382,armed forces
http://metadata.un.org/thesaurus#1000399,artichokes
http://metadata.un.org/thesaurus#1006856,vegetables
http://metadata.un.org/thesaurus#1000404,artillery
http://metadata.un.org/thesaurus#1001290,conventional weapons
http://metadata.un.org/thesaurus#1000406,artistic creation
http://metadata.un.org/thesaurus#150200,protection of intellectual and cultural property
http://metadata.un.org/thesaurus#1000408,arts
